#,Team,Name,Average Sofascore rating,Big chances created,Assists,Accurate passes,Inaccurate passes,Total passes,Accurate passes %,Accurate own half passes,Accurate opposition half passes,Accurate final third passes,Key passes,Accurate crosses,Accurate crosses %,Acc. long balls,Accurate long balls %,Passes to assist
71,Al-Ittihad Alexandria,Mahdi Soliman,6.98,0,0,564,201,765,73.73,493,71,16,0,0,0.0,182,47.89,0
72,Tala'ea El-Gaish,Abdel Rahman Shika,6.98,1,1,556,118,674,82.49,273,284,108,10,1,7.69,78,69.64,0
73,Ghazl El Mahalla,Moaz El Henawy,6.98,0,0,1307,313,1620,80.68,885,422,152,2,0,0.0,154,49.2,0
74,Pyramids FC,Islam Issa,6.98,1,1,576,127,703,81.93,220,360,173,13,4,17.39,38,62.3,1
75,Zamalek SC,Mohamed Abdelghani,6.97,2,1,802,120,922,86.98,571,231,63,3,0,0.0,49,59.76,0
76,Al Ahly FC,Yasser Ibrahim,6.97,0,0,895,124,1019,87.83,680,215,33,5,0,0.0,40,43.01,0
77,Ceramica Cleopatra,Mohamed Adel,6.97,4,0,950,167,1117,85.05,420,540,197,19,10,18.87,60,54.05,0
78,Pyramids FC,Ibrahim Blati Toure,6.97,2,0,1503,227,1730,86.88,695,809,299,17,1,33.33,129,72.88,0
79,Smouha,Mohamed El Sabahi,6.97,0,0,91,26,117,77.78,20,71,40,5,0,0.0,5,83.33,0
80,Ismaily,Omar El Wahsh,6.96,1,0,485,141,626,77.48,201,289,154,11,5,19.23,47,52.81,0
81,Zamalek SC,Ahmed Belhadji,6.96,6,6,549,186,735,74.69,174,406,206,42,31,33.7,30,46.15,0
82,Al Ahly FC,Rami Rabia,6.96,0,0,442,66,508,87.01,313,129,31,1,0,0.0,37,54.41,0
83,El Dakhlya,Kamal Aboul-Fetouh,6.96,0,0,241,101,342,70.47,134,107,39,2,0,0.0,36,36.73,0
84,Modern Future FC,Ali El Fil,6.96,0,0,893,130,1023,87.29,639,255,62,1,1,100.0,86,60.99,0
85,Ceramica Cleopatra,Mohamed Toni,6.96,0,0,576,98,674,85.46,249,332,139,5,5,27.78,46,54.76,0
86,Al-Mokawloon,Farouck Kabore,6.95,0,0,665,333,998,66.63,423,242,80,5,0,0.0,119,39.53,0
