#,Team,Name,Average Sofascore rating,Goals,Big chances missed,Succ. dribbles,Successful dribbles %,Total shots,Shots on target,Shots off target,Blocked shots,Goal conversion %,Penalties taken,Penalty goals,Penalty won,Shots from set piece,Free kick goals,Goals from inside the box,Goals from outside the box,Headed goals,Left foot goals,Right foot goals,Hit woodwork,Offsides,Penalty conversion,Set piece conversion %
64,Ceramica Cleopatra,Mohamed Bassam,6.99,0,0,2,66.67,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
65,Ismaily,Serge Aka,6.99,0,0,16,72.73,8,2,4,2,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0
66,Al-Masry,Mohamed Dabash,6.99,1,0,2,100.0,4,2,2,0,25.0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0
67,Al-Masry,Hussein Sayed,6.99,0,0,14,66.67,24,7,14,3,0.0,0,0,1,3,0,0,0,0,0,0,0,3,0.0,0.0
68,ENPPI,Reda Sayed,6.99,0,0,1,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
69,Modern Future FC,Mahmoud Hamdy,6.99,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
70,ENPPI,Ahmed Amin Oufa,6.98,10,5,29,48.33,61,24,28,9,16.39,0,0,0,0,0,10,0,0,7,3,0,20,0.0,0.0
71,Al-Ittihad Alexandria,Mahdi Soliman,6.98,0,0,1,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
72,Tala'ea El-Gaish,Abdel Rahman Shika,6.98,0,0,17,68.0,6,1,2,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
73,Ghazl El Mahalla,Moaz El Henawy,6.98,2,0,4,80.0,14,5,6,3,14.29,1,1,0,0,0,2,0,1,0,1,0,0,100.0,0.0
74,Pyramids FC,Islam Issa,6.98,5,1,15,55.56,31,12,11,8,16.13,0,0,1,0,0,5,0,1,0,4,0,2,0.0,0.0
75,Zamalek SC,Mohamed Abdelghani,6.97,1,1,5,83.33,7,2,5,0,14.29,0,0,0,0,0,1,0,1,0,0,0,1,0.0,0.0
76,Al Ahly FC,Yasser Ibrahim,6.97,1,0,3,75.0,8,2,5,1,12.5,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0
77,Ceramica Cleopatra,Mohamed Adel,6.97,1,2,22,70.97,12,5,4,3,8.33,0,0,0,1,0,1,0,1,0,0,2,0,0.0,0.0
78,Pyramids FC,Ibrahim Blati Toure,6.97,3,1,22,57.89,24,3,11,10,12.5,0,0,0,0,0,3,0,0,0,3,0,1,0.0,0.0
79,Smouha,Mohamed El Sabahi,6.97,1,0,10,58.82,9,3,3,3,11.11,0,0,0,2,0,1,0,0,0,1,0,0,0.0,0.0
80,Ismaily,Omar El Wahsh,6.96,0,0,9,69.23,6,0,5,1,0.0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0
81,Zamalek SC,Ahmed Belhadji,6.96,4,2,14,30.43,28,12,10,6,14.29,5,1,1,3,0,3,0,0,0,3,0,4,20.0,0.0
82,Al Ahly FC,Rami Rabia,6.96,0,0,7,87.5,3,1,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
83,El Dakhlya,Kamal Aboul-Fetouh,6.96,1,0,7,77.78,5,1,4,0,20.0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0
84,Modern Future FC,Ali El Fil,6.96,0,1,2,100.0,7,1,6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
85,Ceramica Cleopatra,Mohamed Toni,6.96,0,0,8,80.0,15,7,6,2,0.0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0
86,Al-Mokawloon,Farouck Kabore,6.95,1,3,7,70.0,20,5,12,3,5.0,0,0,0,1,0,1,0,1,0,0,1,1,0.0,0.0
87,Aswan SC,Mohamed Hamdy Zaki,6.95,12,6,10,28.57,88,26,36,26,13.64,4,2,0,6,0,11,1,1,2,9,3,30,50.0,0.0
88,Ghazl El Mahalla,Mostafa El Aash,6.95,1,0,10,47.62,12,1,7,4,8.33,0,0,0,0,0,1,0,0,1,0,1,1,0.0,0.0
89,Pyramids FC,Mostafa Fathy,6.95,9,8,33,38.37,71,27,27,17,12.68,1,0,0,0,0,7,2,1,7,1,2,19,0.0,0.0
90,El Dakhlya,Ahmed El Amour,6.95,0,0,1,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
91,National Bank of Egypt,Mohamed Abou Gabal,6.95,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
92,Pharco FC,Abdallah Bakri,6.95,1,0,3,75.0,9,5,4,0,11.11,0,0,0,1,0,1,0,1,0,0,0,1,0.0,0.0
93,Zamalek SC,Nabil Donga,6.95,0,0,7,53.85,27,4,18,5,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
94,Zamalek SC,Mostafa Shalaby,6.95,2,2,40,57.14,29,7,11,11,6.9,1,1,3,0,0,1,1,0,0,2,0,9,100.0,0.0
95,Ghazl El Mahalla,Himid Mao Mkami,6.94,0,0,7,53.85,14,1,8,5,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
96,Al-Masry,Islam Abou-Salima,6.94,1,2,0,0.0,11,4,7,0,9.09,0,0,0,0,0,1,0,1,0,0,0,3,0.0,0.0
97,Zamalek SC,Mahmoud Shabana,6.94,1,1,0,0.0,7,2,4,1,14.29,0,0,0,0,0,1,0,1,0,0,0,1,0.0,0.0
98,Tala'ea El-Gaish,Mahmoud Wadi,6.94,4,2,3,30.0,32,10,17,5,12.5,1,1,0,0,0,4,0,2,0,2,0,2,100.0,0.0
99,Zamalek SC,Mohamed Sobhi,6.93,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
100,Modern Future FC,Marwan Mohsen,6.93,6,3,3,37.5,33,19,12,2,18.18,4,2,1,1,0,6,0,1,1,4,0,7,50.0,0.0
101,Zamalek SC,Hamza Mathlouthi,6.93,0,0,6,60.0,12,3,6,3,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0
102,Smouha,Sherif Reda,6.93,1,0,27,54.0,19,7,7,5,5.26,0,0,0,5,0,1,0,0,0,1,1,2,0.0,0.0
103,Ismaily,Mohamed Hassan,6.93,0,0,23,63.89,10,2,6,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
104,National Bank of Egypt,Mohamed Helal,6.92,6,4,9,30.0,39,16,18,5,15.38,5,5,0,8,0,5,1,0,0,6,1,9,100.0,0.0
105,Al-Ittihad Alexandria,Sabri Raheel,6.92,0,0,11,52.38,9,2,5,2,0.0,0,0,0,6,0,0,0,0,0,0,0,6,0.0,0.0
106,Pyramids FC,Mohamed Hamdi,6.92,2,2,7,33.33,21,4,13,4,9.52,0,0,0,0,0,2,0,1,1,0,1,10,0.0,0.0
107,Haras El Hedoud,Mohamed Fawzi,6.92,0,0,1,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
108,Haras El Hedoud,Mahmoud Ben Wali,6.92,1,3,2,33.33,24,8,11,5,4.17,0,0,0,0,0,1,0,1,0,0,2,0,0.0,0.0
109,Al-Ittihad Alexandria,Hisham Salah,6.91,0,0,15,46.88,16,1,13,2,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
110,Pyramids FC,Ahmed Samy,6.91,0,2,4,100.0,13,3,10,0,0.0,0,0,1,0,0,0,0,0,0,0,1,2,0.0,0.0
111,Al Ahly FC,Khaled Abdelfattah,6.91,0,1,21,44.68,7,1,6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0
112,Al-Mokawloon,Ahmed Atef,6.91,0,0,30,53.57,17,6,5,6,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
113,Ismaily,Ahmed Adel,6.91,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
114,Ceramica Cleopatra,Ahmed Yasser Rayan,6.91,8,7,22,48.89,80,28,36,16,10.0,0,0,0,2,0,8,0,3,1,4,0,11,0.0,0.0
115,Pyramids FC,Karim Hafez,6.91,2,0,8,57.14,7,0,6,1,28.57,0,0,1,0,0,0,0,0,0,0,0,3,0.0,0.0
116,Tala'ea El-Gaish,Ahmed Samir,6.91,4,3,17,54.84,40,13,21,6,10.0,3,1,0,4,0,3,1,0,3,1,0,8,33.33,0.0
117,Pharco FC,Rami Sabri,6.91,2,0,3,75.0,10,3,5,2,20.0,1,1,0,0,0,2,0,1,0,1,1,0,100.0,0.0
118,Haras El Hedoud,Ahmed Shedid Kenawi,6.90,0,0,5,55.56,4,1,2,1,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
