#,Team,Name,Average Sofascore rating,Goals,Big chances missed,Succ. dribbles,Successful dribbles %,Total shots,Shots on target,Shots off target,Blocked shots,Goal conversion %,Penalties taken,Penalty goals,Penalty won,Shots from set piece,Free kick goals,Goals from inside the box,Goals from outside the box,Headed goals,Left foot goals,Right foot goals,Hit woodwork,Offsides,Penalty conversion,Set piece conversion %
341,Zamalek SC,Mohamed Abdel Shafi,6.70,0,0,1,25.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
342,Haras El Hedoud,Omar Bassam,6.70,0,0,4,66.67,11,2,6,3,0.0,0,0,0,1,0,0,0,0,0,0,0,4,0.0,0.0
343,El Dakhlya,Mohamed Ramadan,6.70,0,0,1,50.0,4,0,2,2,0.0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0
344,National Bank of Egypt,Ahmed Yassin,6.69,0,0,2,50.0,2,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
345,Aswan SC,Mohamed Atwa,6.69,0,0,2,33.33,12,2,9,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
346,National Bank of Egypt,Osama Faisal,6.69,3,2,12,50.0,13,7,5,1,23.08,0,0,1,0,0,2,1,0,1,2,0,7,0.0,0.0
347,National Bank of Egypt,Osama Ibrahim,6.69,0,0,3,30.0,2,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
348,Ghazl El Mahalla,Amr Shaaban,6.69,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
349,El Dakhlya,Mohamed Naguib,6.69,0,2,4,57.14,10,2,6,2,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
350,Al-Masry,Abdo Yehia,6.69,2,1,8,28.57,26,8,14,4,7.69,0,0,0,0,0,2,0,0,0,2,0,5,0.0,0.0
351,ENPPI,Marwan Dawoud,6.69,1,0,12,37.5,12,6,5,1,8.33,0,0,0,2,0,1,0,0,0,1,0,1,0.0,0.0
352,Al-Masry,Ragab Omran,6.69,0,0,14,48.28,19,8,6,5,0.0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0
353,Pharco FC,Azmi Ghouma,6.69,0,0,10,45.45,16,4,7,5,0.0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0
354,ENPPI,Mody Naser,6.69,0,1,11,73.33,4,0,3,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
355,Tala'ea El-Gaish,Mohamed Sherif,6.68,0,1,10,55.56,11,3,4,4,0.0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,0.0
356,ENPPI,Abdel Aziz El Balouti,6.68,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
357,Haras El Hedoud,Islam Gamal,6.68,0,0,8,38.1,3,0,2,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
358,Ghazl El Mahalla,Ahmed El Nadry,6.68,1,2,15,57.69,18,5,10,3,5.56,0,0,0,0,0,1,0,0,0,1,1,4,0.0,0.0
359,Ghazl El Mahalla,Salah Rico,6.68,0,0,0,0.0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
360,Ceramica Cleopatra,Ibrahim Ayoola,6.68,0,0,2,100.0,2,0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0
361,Tala'ea El-Gaish,Ahmed Ayman Mansour,6.68,2,0,4,50.0,11,3,7,1,18.18,0,0,0,0,0,1,0,1,0,0,1,1,0.0,0.0
362,Zamalek SC,Youssef Osama Nabih,6.68,4,0,6,37.5,23,7,10,6,17.39,0,0,0,0,0,3,1,1,0,3,1,2,0.0,0.0
363,Ceramica Cleopatra,Abdelrahman Body,6.68,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
364,El Dakhlya,Ahmed Abdelrasoul,6.68,0,0,3,60.0,13,1,6,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
365,Modern Future FC,Karim Nedved,6.67,1,1,6,46.15,14,2,7,5,7.14,0,0,0,0,0,1,0,0,0,1,1,2,0.0,0.0
366,Al-Masry,Hassan Ali,6.67,0,2,16,59.26,13,3,6,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
367,Aswan SC,Mahmoud Fahmy,6.67,0,0,1,100.0,6,2,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0
368,Haras El Hedoud,Mostafa Sobhi,6.67,1,0,19,48.72,20,9,7,4,5.0,0,0,0,0,0,1,0,0,0,1,0,1,0.0,0.0
369,Ismaily,Mohamed Koko,6.67,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
370,Smouha,Hussein Faisal,6.67,4,3,40,54.05,43,14,13,16,9.3,1,0,0,3,0,2,2,0,1,3,1,2,0.0,0.0
371,Pharco FC,Ahmed Sherif,6.67,2,1,10,47.62,13,8,4,1,15.38,0,0,1,0,0,2,0,0,0,2,0,0,0.0,0.0
372,ENPPI,Youssef Labib,6.67,1,1,1,50.0,5,1,3,1,20.0,0,0,0,0,0,1,0,0,0,1,0,1,0.0,0.0
373,Pharco FC,Mohamed Zakaria Shika,6.67,0,0,2,50.0,2,0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
374,Tala'ea El-Gaish,Mohamed Samir,6.67,0,0,1,100.0,2,0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
375,Haras El Hedoud,Ahmed Fathi Hamza,6.66,2,0,11,42.31,11,3,6,2,18.18,0,0,0,0,0,0,2,0,0,2,0,1,0.0,0.0
376,Ismaily,Omar El Saaiy,6.66,0,0,7,46.67,9,4,1,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
377,National Bank of Egypt,Hamdy Alaa,6.66,0,0,8,38.1,7,2,4,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
378,Ismaily,Mohamed Desouki,6.66,0,0,10,29.41,7,0,3,4,0.0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0
379,Al-Ittihad Alexandria,Islam Abdelnaim,6.66,0,3,21,56.76,13,5,6,2,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
380,Modern Future FC,Mohamed Farouk,6.66,1,1,9,36.0,11,6,1,4,9.09,0,0,0,1,1,0,1,0,0,1,0,1,0.0,100.0
381,Ghazl El Mahalla,Mohamed Gaber,6.66,0,1,24,48.98,25,9,8,8,0.0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0.0
382,Pharco FC,Yassin Marei,6.66,0,0,3,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
383,El Dakhlya,Ahmed Dahesh,6.66,0,0,4,66.67,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
384,Al-Mokawloon,Ahmed El Shimi,6.66,0,1,8,30.77,17,3,9,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
385,Al-Ittihad Alexandria,Mostafa Ibrahim,6.66,0,0,1,33.33,3,1,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
386,Ghazl El Mahalla,Ahmed Reda,6.65,0,0,5,50.0,2,0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
387,Modern Future FC,Ali Zaazaa,6.65,1,4,3,42.86,14,6,4,4,7.14,0,0,1,0,0,1,0,1,0,0,1,1,0.0,0.0
388,Modern Future FC,Omar El Said,6.65,2,0,3,37.5,20,8,7,5,10.0,0,0,0,0,0,2,0,1,1,0,0,8,0.0,0.0
389,Ghazl El Mahalla,Hazem Morsi,6.65,2,0,2,28.57,15,9,3,3,13.33,0,0,0,0,0,2,0,1,0,1,1,4,0.0,0.0
390,Al-Ittihad Alexandria,Austin Amutu,6.65,3,3,7,43.75,30,6,19,5,10.0,0,0,1,0,0,3,0,1,0,2,2,5,0.0,0.0
391,ENPPI,Mostafa Dowidar,6.65,1,0,5,55.56,10,1,4,5,10.0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0
392,Al-Masry,Amr El Morsi,6.65,0,0,2,50.0,2,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
393,ENPPI,Girgis Magdy,6.65,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
394,Al Ahly FC,Ahmed Ashraf Ahmed,6.65,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
395,National Bank of Egypt,Eslam Gaber,6.65,0,0,6,46.15,9,3,1,5,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
396,Al-Masry,Osama El Gazar,6.64,0,0,8,72.73,4,1,3,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
397,Ismaily,Mohamed El Shamy,6.64,9,5,28,36.36,33,17,11,5,27.27,0,0,0,0,0,9,0,1,1,7,0,18,0.0,0.0
398,Haras El Hedoud,Hamed Khaled El Gabry,6.64,0,0,10,40.0,18,7,7,4,0.0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0
399,Tala'ea El-Gaish,Ahmed Masoud,6.64,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
400,Al-Mokawloon,Mohamed Hozian,6.64,0,0,3,33.33,2,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
401,Zamalek SC,Samson Akinyoola,6.63,1,1,1,20.0,11,4,5,2,9.09,0,0,0,0,0,1,0,0,1,0,0,2,0.0,0.0
402,Smouha,Omar Salah,6.63,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
403,Al-Ittihad Alexandria,Gavin Kizito,6.63,0,0,0,0.0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
404,Modern Future FC,Mohamed Abdelsalam,6.63,0,0,2,66.67,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
405,Smouha,El Sabahy Emad,6.63,0,0,1,50.0,2,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
406,Tala'ea El-Gaish,Mohamed Diab,6.63,0,0,1,100.0,4,1,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
407,Haras El Hedoud,Mohamed Ahmed Kamel,6.63,0,1,2,66.67,2,0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
408,Smouha,Mohamed El-Maghrabi,6.63,0,1,4,57.14,2,0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
409,El Dakhlya,Abdelaziz El Sayed,6.63,2,0,10,58.82,6,5,0,1,33.33,2,2,0,0,0,2,0,0,2,0,0,0,100.0,0.0
410,ENPPI,Mostafa Shakshak,6.63,0,0,17,58.62,11,3,7,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
411,Zamalek SC,Seif Farouk Gaafar,6.63,0,1,10,58.82,11,6,4,1,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0
412,Haras El Hedoud,Mahmoud Mamdouh,6.63,2,2,11,37.93,14,8,2,4,14.29,0,0,0,0,0,2,0,1,0,1,0,4,0.0,0.0
413,National Bank of Egypt,Mohamed Bassiouny,6.63,0,0,8,50.0,4,1,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
414,Al-Masry,Ahmed El Sheikh,6.63,1,0,4,44.44,3,1,1,1,33.33,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0
415,National Bank of Egypt,Basem Morsi,6.63,1,2,4,36.36,27,7,17,3,3.7,0,0,0,1,0,1,0,1,0,0,1,12,0.0,0.0
416,Ismaily,Essam Sobhy,6.62,0,0,1,50.0,3,1,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
417,Haras El Hedoud,Mostafa Gamal,6.62,3,1,21,80.77,11,5,5,1,27.27,4,2,0,0,0,2,1,0,0,3,0,0,50.0,0.0
418,Al Ahly FC,Bruno Sávio,6.62,1,1,6,30.0,18,5,7,6,5.56,0,0,1,0,0,1,0,0,0,1,0,2,0.0,0.0
419,Smouha,Alia Sylla,6.62,1,2,0,0.0,7,1,5,1,14.29,0,0,0,0,0,1,0,0,0,1,1,2,0.0,0.0
420,Haras El Hedoud,Kingsley Fidelis Kuku,6.61,0,0,4,33.33,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
421,Ghazl El Mahalla,Khaled El Akhmimi,6.61,0,0,8,50.0,12,1,7,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
422,Haras El Hedoud,Emmanuel David,6.61,1,1,10,43.48,14,3,7,4,7.14,0,0,0,0,0,1,0,0,0,1,0,4,0.0,0.0
423,Ghazl El Mahalla,Ibrahim Kone,6.61,1,0,15,60.0,6,1,4,1,16.67,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0
424,Ceramica Cleopatra,Salah Mohsen,6.61,4,6,10,55.56,20,12,8,0,20.0,0,0,0,0,0,2,0,0,0,2,0,19,0.0,0.0
425,Aswan SC,Gedo,6.60,2,4,3,14.29,23,9,8,6,8.7,0,0,1,0,0,2,0,2,0,0,1,3,0.0,0.0
426,Aswan SC,Ali Fathi,6.60,0,0,6,30.0,6,1,2,3,0.0,0,0,0,1,0,0,0,0,0,0,0,2,0.0,0.0
427,Tala'ea El-Gaish,Paul Joules,6.60,2,0,4,80.0,11,7,3,1,18.18,0,0,0,0,0,2,0,0,0,2,0,9,0.0,0.0
428,Pharco FC,Gaber Kamel,6.60,1,0,2,25.0,8,1,7,0,12.5,0,0,0,0,0,1,0,0,1,0,1,1,0.0,0.0
429,National Bank of Egypt,Assem Salah,6.60,0,0,1,20.0,2,0,1,1,0.0,0,0,1,2,0,0,0,0,0,0,0,0,0.0,0.0
430,Smouha,Mohammed Rashid,6.60,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
431,Al Ahly FC,Motaz El Sayed,6.60,0,0,0,0.0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
432,Ismaily,Khaled Alnabrisi,6.60,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
433,Al-Masry,Sherif Dabo,6.60,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
434,Ismaily,Abdoul Kader Coulibaly,6.60,0,0,1,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
435,Aswan SC,Saber El Shimi,6.60,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
436,El Dakhlya,Mahmoud El Gharabawy,6.60,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
437,El Dakhlya,Mahmoud Shedid Kenawi,6.60,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
438,ENPPI,Shemeles Bekele,6.60,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
439,Al-Mokawloon,El Habib Ahmed Hassan,6.60,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
440,Al-Ittihad Alexandria,Amr Khalil,6.60,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
441,Ismaily,Mohamed Benkhemassa,6.60,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
442,Zamalek SC,Ali Yasser,6.60,0,0,0,0.0,3,0,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0
443,Pyramids FC,Ojo Tolulope,6.60,0,0,0,0.0,2,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
444,Ceramica Cleopatra,Arthur Justice,6.60,0,0,0,0.0,2,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
445,Pharco FC,Mahmoud Gehad,6.60,0,0,3,60.0,2,0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
446,Haras El Hedoud,Medhat Fakousa,6.60,0,0,3,75.0,3,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
447,ENPPI,Salah Zayed,6.60,0,0,4,80.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
448,ENPPI,Eric Traore,6.60,0,0,3,60.0,3,0,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0
449,Tala'ea El-Gaish,Ali Hamdy,6.60,0,0,4,50.0,12,2,8,2,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
450,Smouha,Ahmed Gamal,6.60,0,1,8,72.73,8,3,3,2,0.0,0,0,0,0,0,0,0,0,0,0,1,3,0.0,0.0
451,Ismaily,Mahmoud Shabrawy,6.59,1,0,4,28.57,17,5,8,4,5.88,0,0,1,0,0,1,0,0,1,0,0,1,0.0,0.0
452,El Dakhlya,Momen Atef,6.59,1,1,3,30.0,9,3,6,0,11.11,0,0,0,0,0,1,0,0,0,1,0,1,0.0,0.0
453,ENPPI,Abdel Rahman Emad,6.59,0,1,15,48.39,9,3,2,4,0.0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,0.0
454,Pharco FC,Mahmoud Emad,6.59,0,0,4,66.67,9,3,4,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
455,Smouha,Mohamed Saeed,6.59,0,1,11,45.83,18,8,6,4,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0.0,0.0
456,Ceramica Cleopatra,Mahmoud Zalaka,6.59,0,1,15,62.5,10,2,4,4,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
457,Smouha,Halimo,6.59,1,0,7,46.67,14,2,9,3,7.14,0,0,0,1,0,1,0,0,1,0,1,0,0.0,0.0
458,Ghazl El Mahalla,Paulin Voavy,6.59,1,1,8,47.06,4,1,1,2,25.0,0,0,0,0,0,1,0,0,1,0,0,2,0.0,0.0
459,Al Ahly FC,Mohamed Dhaoui,6.59,0,0,4,25.0,7,1,5,1,0.0,0,0,0,1,0,0,0,0,0,0,0,2,0.0,0.0
460,Haras El Hedoud,Ahmed El Saadani,6.59,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
461,National Bank of Egypt,Razak Cissé,6.59,2,1,13,39.39,16,6,6,4,12.5,0,0,0,0,0,2,0,0,1,1,0,1,0.0,0.0
462,El Dakhlya,Eric Serge,6.59,0,1,4,57.14,6,1,3,2,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
463,Smouha,Zeyad Tarek,6.58,0,1,3,60.0,4,2,1,1,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
464,Ghazl El Mahalla,Abdelrahman Atef,6.58,2,3,1,11.11,21,9,9,3,9.52,0,0,0,0,0,1,1,0,2,0,1,6,0.0,0.0
465,Pyramids FC,Abdallah Magdy,6.58,1,1,1,25.0,1,0,1,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
466,Al-Masry,Franck Mbella Etouga,6.58,2,4,5,62.5,18,8,8,2,11.11,0,0,0,0,0,2,0,0,0,2,3,3,0.0,0.0
467,National Bank of Egypt,Firas Ifia,6.58,0,0,1,16.67,2,0,2,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
468,Haras El Hedoud,Wagih Abdel Hakim,6.58,0,0,7,41.18,10,3,5,2,0.0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0
469,Smouha,Barakat Haggag,6.58,2,0,0,0.0,3,3,0,0,66.67,0,0,0,0,0,2,0,1,0,1,0,0,0.0,0.0
470,Zamalek SC,Youssef Hassan,6.58,0,0,0,0.0,1,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
471,Modern Future FC,Abdallah Yaisien,6.58,0,0,1,50.0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
472,Haras El Hedoud,Ahmed Ayman,6.57,0,0,2,28.57,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
473,Modern Future FC,Mostafa El-Badry,6.57,0,4,7,33.33,13,1,8,4,0.0,0,0,0,0,0,0,0,0,0,0,2,5,0.0,0.0
474,Al-Masry,Islam Ateia,6.57,2,1,8,47.06,12,3,6,3,16.67,0,0,0,1,0,2,0,1,0,1,0,3,0.0,0.0
475,Tala'ea El-Gaish,Arabi Badr,6.57,1,0,3,100.0,3,1,1,1,33.33,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0
476,Pyramids FC,Mohamed Sadek,6.57,0,0,4,36.36,3,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
477,Modern Future FC,Aymen Sfaxi,6.56,0,1,4,33.33,7,2,4,1,0.0,0,0,0,0,0,0,0,0,0,0,1,3,0.0,0.0
478,Ghazl El Mahalla,Mahmoud Alaa El Katamy,6.56,0,0,4,40.0,2,0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0
479,Smouha,Abubakar Liday,6.56,0,0,8,57.14,8,2,4,2,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
480,Ghazl El Mahalla,Karim Mostafa,6.56,0,0,8,42.11,15,2,8,5,0.0,0,0,0,0,0,0,0,0,0,0,0,9,0.0,0.0
481,Smouha,Ahmed Shousha,6.56,0,0,1,25.0,7,1,6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
482,Smouha,Mohamed Nadi,6.55,0,0,7,33.33,8,3,2,3,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0
483,Haras El Hedoud,Ahmed Dawooda,6.55,0,0,1,20.0,2,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
484,Aswan SC,Omar Saoudi,6.55,0,0,0,0.0,2,0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
485,Tala'ea El-Gaish,Fares Hatem,6.55,0,0,1,100.0,2,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
486,Smouha,Momen Mohamed Abd Rabo,6.55,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
487,Smouha,Tariq Alaa,6.55,0,0,3,50.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
488,Aswan SC,Ahmed Hamoudi,6.55,0,0,4,30.77,6,0,5,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
489,Tala'ea El-Gaish,Mahmoud Wahid,6.54,0,0,1,25.0,1,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
490,Haras El Hedoud,Valentine Odoh,6.54,0,1,8,44.44,17,2,10,5,0.0,0,0,0,0,0,0,0,0,0,0,1,13,0.0,0.0
491,Al-Ittihad Alexandria,Abdelghani Mohamed,6.54,0,1,13,48.15,7,3,3,1,0.0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0
492,Ghazl El Mahalla,Charles Ekpenyong,6.54,2,1,6,31.58,10,3,6,1,20.0,0,0,0,0,0,2,0,0,0,2,0,0,0.0,0.0
493,El Dakhlya,Karim Yehia,6.53,0,0,3,50.0,5,0,3,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
494,Aswan SC,Islam Gamal,6.53,0,0,0,0.0,2,0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
495,ENPPI,Momen Rady,6.53,0,0,0,0.0,3,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
496,Al-Ittihad Alexandria,Ahmed Adel,6.53,1,2,24,33.8,22,7,5,10,4.55,1,0,1,0,0,1,0,0,1,0,0,0,0.0,0.0
497,Al-Mokawloon,Youssef El Gohary,6.52,0,0,6,37.5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
498,Modern Future FC,Hadji Barry,6.52,1,3,4,22.22,12,3,8,1,8.33,2,0,0,2,0,1,0,0,0,1,0,4,0.0,0.0
499,Ceramica Cleopatra,Mohamed Antar,6.52,0,5,32,47.06,13,5,6,2,0.0,0,0,0,0,0,0,0,0,0,0,1,3,0.0,0.0
500,Al-Masry,Ahmed Shadad,6.52,0,0,1,25.0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
501,El Dakhlya,Mohamed Nosseir,6.52,0,0,0,0.0,3,0,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
502,El Dakhlya,Abdullahi Ojifinni,6.52,0,0,3,50.0,3,0,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0
503,Al-Ittihad Alexandria,Ahmed Eid,6.52,2,1,6,24.0,13,5,5,3,15.38,0,0,0,0,0,2,0,0,0,2,1,3,0.0,0.0
504,Pharco FC,Ziad Tolba,6.52,0,0,1,25.0,3,0,2,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
505,Tala'ea El-Gaish,Marwan Osman,6.52,0,1,1,33.33,2,0,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
506,Haras El Hedoud,Gharib Yasser,6.52,0,0,1,33.33,5,1,2,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
507,National Bank of Egypt,Amir Medhat,6.51,0,0,2,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
508,El Dakhlya,Christopher John,6.51,1,2,18,46.15,34,10,16,8,2.94,0,0,0,0,0,1,0,0,1,0,1,4,0.0,0.0
509,Al Ahly FC,Mohamed Zaalouk,6.50,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
510,Ismaily,Eiad El Askalany,6.50,0,0,1,50.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
511,ENPPI,Alhassan Mubarak,6.50,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
512,Ghazl El Mahalla,Mohamed Nabih,6.50,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
513,Al-Ittihad Alexandria,Ahmed Hamdeen,6.50,0,0,2,66.67,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
514,Haras El Hedoud,Salisu Mobarak,6.50,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
515,Al-Mokawloon,Ahmed Rashwan,6.50,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
