Date,HomeTeam,AwayTeam,HomeScore,AwayScore,MatchState,MatchLink,MatchCode
26/07/21,Pyramids,National Bank,1,1,FT,https://www.sofascore.com/national-bank-of-egypt-pyramids-fc/cavbsBHgc#9560406,9560406
05/08/21,Al Ahly,Ceramica Cleopatra,None,None,Canceled,https://www.sofascore.com/ceramica-cleopatra-al-ahly-fc/kNcsxHYc#9560410,9560410
24/05/21,Ismaily,El-Makkasa,2,1,FT,https://www.sofascore.com/misr-el-makkasa-ismaily/qXqsjwr#9503238,9503238
24/05/21,Zamalek,Al-Masry,3,2,FT,https://www.sofascore.com/al-masry-zamalek-sc/tXqskwr#9503234,9503234
25/05/21,Wadi Degla,El-Gaish,0,1,FT,https://www.sofascore.com/wadi-degla-talaea-el-gaish/lwrstwr#9503251,9503251
25/05/21,Al-Ittihad,El Gouna,0,1,FT,https://www.sofascore.com/el-gouna-fc-al-ittihad-alexandria/Mdospwr#9503233,9503233
25/05/21,Aswan,El Mahalla,1,0,FT,https://www.sofascore.com/aswan-sc-ghazl-el-mahalla/uqysDFIb#9503235,9503235
26/05/21,National Bank,Smouha,2,2,FT,https://www.sofascore.com/national-bank-of-egypt-smouha/nwrsBHgc#9503253,9503253
26/05/21,Ceramica Cleopatra,ENPPI,0,2,FT,https://www.sofascore.com/ceramica-cleopatra-enppi/owrsxHYc#9503250,9503250
27/05/21,Al-Mokawloon,Pyramids,None,None,Canceled,https://www.sofascore.com/pyramids-fc-al-mokawloon/pXqscavb#9503254,9503254
16/07/21,Al-Mokawloon,Pyramids,0,2,FT,https://www.sofascore.com/pyramids-fc-al-mokawloon/pXqscavb#9560399,9560399
25/07/21,El-Entag,Al Ahly,2,3,FT,https://www.sofascore.com/el-entag-el-harby-al-ahly-fc/kNcsmwr#9503301,9503301
28/05/21,Al-Masry,Wadi Degla,2,2,FT,https://www.sofascore.com/wadi-degla-al-masry/kwrstwr#9503199,9503199
28/05/21,El-Makkasa,El Mahalla,1,0,FT,https://www.sofascore.com/ghazl-el-mahalla-misr-el-makkasa/jwrsuqy#9503194,9503194
28/05/21,Aswan,Al-Ittihad,0,2,FT,https://www.sofascore.com/aswan-sc-al-ittihad-alexandria/MdosDFIb#9503196,9503196
29/05/21,El-Gaish,Ceramica Cleopatra,2,2,FT,https://www.sofascore.com/ceramica-cleopatra-talaea-el-gaish/lwrsxHYc#9503193,9503193
30/05/21,ENPPI,El-Entag,1,1,FT,https://www.sofascore.com/enppi-el-entag-el-harby/mwrsowr#9503197,9503197
30/05/21,Smouha,Al-Mokawloon,2,2,FT,https://www.sofascore.com/smouha-al-mokawloon/pXqsnwr#9503198,9503198
30/05/21,Pyramids,Ismaily,None,None,Canceled,https://www.sofascore.com/pyramids-fc-ismaily/qXqscavb#9503189,9503189
30/05/21,El Gouna,Zamalek,0,0,FT,https://www.sofascore.com/el-gouna-fc-zamalek-sc/tXqspwr#9503195,9503195
01/06/21,Al Ahly,National Bank,None,None,Canceled,https://www.sofascore.com/national-bank-of-egypt-al-ahly-fc/kNcsBHgc#9525938,9525938
22/07/21,Al Ahly,National Bank,1,1,FT,https://www.sofascore.com/national-bank-of-egypt-al-ahly-fc/kNcsBHgc#9560402,9560402
02/08/21,Pyramids,Ismaily,None,None,Canceled,https://www.sofascore.com/pyramids-fc-ismaily/qXqscavb#9560401,9560401
04/08/21,Pyramids,Ismaily,2,2,FT,https://www.sofascore.com/pyramids-fc-ismaily/qXqscavb#9689647,9689647
14/06/21,Al-Mokawloon,Al Ahly,None,None,Canceled,https://www.sofascore.com/al-mokawloon-al-ahly-fc/kNcspXq#9503213,9503213
15/06/21,El-Entag,El-Gaish,1,2,FT,https://www.sofascore.com/el-entag-el-harby-talaea-el-gaish/lwrsmwr#9503185,9503185
15/06/21,Pyramids,Smouha,0,3,FT,https://www.sofascore.com/pyramids-fc-smouha/nwrscavb#9503297,9503297
16/06/21,National Bank,ENPPI,2,3,FT,https://www.sofascore.com/national-bank-of-egypt-enppi/owrsBHgc#9503221,9503221
16/06/21,Ceramica Cleopatra,Al-Masry,1,2,FT,https://www.sofascore.com/ceramica-cleopatra-al-masry/kwrsxHYc#9503217,9503217
17/06/21,Ismaily,El Mahalla,3,1,FT,https://www.sofascore.com/ghazl-el-mahalla-ismaily/qXqsuqy#9503184,9503184
17/06/21,Al-Ittihad,El-Makkasa,2,1,FT,https://www.sofascore.com/misr-el-makkasa-al-ittihad-alexandria/Mdosjwr#9503218,9503218
17/06/21,Zamalek,Aswan,3,0,FT,https://www.sofascore.com/aswan-sc-zamalek-sc/tXqsDFIb#9503208,9503208
18/06/21,Wadi Degla,El Gouna,0,0,FT,https://www.sofascore.com/wadi-degla-el-gouna-fc/pwrstwr#9503220,9503220
08/07/21,Al-Mokawloon,Al Ahly,0,2,FT,https://www.sofascore.com/al-mokawloon-al-ahly-fc/kNcspXq#9560374,9560374
25/06/21,El Gouna,Ceramica Cleopatra,3,2,FT,https://www.sofascore.com/ceramica-cleopatra-el-gouna-fc/pwrsxHYc#9503203,9503203
25/06/21,Aswan,Wadi Degla,1,4,FT,https://www.sofascore.com/aswan-sc-wadi-degla/twrsDFIb#9503204,9503204
25/06/21,El Mahalla,Al-Ittihad,1,1,FT,https://www.sofascore.com/ghazl-el-mahalla-al-ittihad-alexandria/Mdosuqy#9503202,9503202
25/06/21,Al-Masry,El-Entag,2,3,FT,https://www.sofascore.com/el-entag-el-harby-al-masry/kwrsmwr#9503209,9503209
27/06/21,El-Gaish,National Bank,0,2,FT,https://www.sofascore.com/national-bank-of-egypt-talaea-el-gaish/lwrsBHgc#9503205,9503205
27/06/21,Smouha,Ismaily,0,3,FT,https://www.sofascore.com/smouha-ismaily/qXqsnwr#9503207,9503207
28/06/21,ENPPI,Al-Mokawloon,1,1,FT,https://www.sofascore.com/enppi-al-mokawloon/pXqsowr#9503201,9503201
28/06/21,El-Makkasa,Zamalek,0,1,FT,https://www.sofascore.com/misr-el-makkasa-zamalek-sc/tXqsjwr#9503206,9503206
01/07/21,Al Ahly,Pyramids,2,2,FT,https://www.sofascore.com/pyramids-fc-al-ahly-fc/kNcscavb#9503200,9503200
02/07/21,Ceramica Cleopatra,Aswan,1,1,FT,https://www.sofascore.com/ceramica-cleopatra-aswan-sc/DFIbsxHYc#9503231,9503231
02/07/21,El-Entag,El Gouna,1,1,FT,https://www.sofascore.com/el-gouna-fc-el-entag-el-harby/mwrspwr#9503228,9503228
02/07/21,National Bank,Al-Masry,2,0,FT,https://www.sofascore.com/national-bank-of-egypt-al-masry/kwrsBHgc#9503225,9503225
04/07/21,Al-Mokawloon,El-Gaish,0,1,FT,https://www.sofascore.com/talaea-el-gaish-al-mokawloon/pXqslwr#9503300,9503300
04/07/21,Pyramids,ENPPI,1,1,FT,https://www.sofascore.com/pyramids-fc-enppi/owrscavb#9503230,9503230
04/07/21,Smouha,Al Ahly,0,4,FT,https://www.sofascore.com/smouha-al-ahly-fc/kNcsnwr#9503222,9503222
05/07/21,Wadi Degla,El-Makkasa,1,1,FT,https://www.sofascore.com/wadi-degla-misr-el-makkasa/jwrstwr#9503229,9503229
05/07/21,Ismaily,Al-Ittihad,1,2,FT,https://www.sofascore.com/ismaily-al-ittihad-alexandria/MdosqXq#9503224,9503224
05/07/21,Zamalek,El Mahalla,None,None,Canceled,https://www.sofascore.com/ghazl-el-mahalla-zamalek-sc/tXqsuqy#9503223,9503223
03/08/21,Zamalek,El Mahalla,None,None,Canceled,https://www.sofascore.com/ghazl-el-mahalla-zamalek-sc/tXqsuqy#9643274,9643274
07/08/21,Zamalek,El Mahalla,3,0,FT,https://www.sofascore.com/ghazl-el-mahalla-zamalek-sc/tXqsuqy#9689648,9689648
06/08/21,Aswan,El-Entag,None,None,Canceled,https://www.sofascore.com/aswan-sc-el-entag-el-harby/mwrsDFIb#9503219,9503219
06/08/21,Al-Ittihad,Zamalek,None,None,Canceled,https://www.sofascore.com/zamalek-sc-al-ittihad-alexandria/MdostXq#9503299,9503299
07/08/21,El Mahalla,Wadi Degla,None,None,Canceled,https://www.sofascore.com/ghazl-el-mahalla-wadi-degla/twrsuqy#9503216,9503216
07/08/21,Al-Masry,Al-Mokawloon,None,None,Canceled,https://www.sofascore.com/al-masry-al-mokawloon/pXqskwr#9503226,9503226
07/08/21,ENPPI,Smouha,None,None,Canceled,https://www.sofascore.com/enppi-smouha/nwrsowr#9503187,9503187
07/08/21,El-Gaish,Pyramids,None,None,Canceled,https://www.sofascore.com/pyramids-fc-talaea-el-gaish/lwrscavb#9503215,9503215
07/08/21,Al Ahly,Ceramica Cleopatra,4,0,FT,https://www.sofascore.com/ceramica-cleopatra-al-ahly-fc/kNcsxHYc#9689650,9689650
08/08/21,Aswan,El-Entag,2,2,FT,https://www.sofascore.com/aswan-sc-el-entag-el-harby/mwrsDFIb#9689661,9689661
08/08/21,El-Makkasa,Ceramica Cleopatra,None,None,Canceled,https://www.sofascore.com/ceramica-cleopatra-misr-el-makkasa/jwrsxHYc#9503214,9503214
09/08/21,Al Ahly,Ismaily,None,None,Canceled,https://www.sofascore.com/ismaily-al-ahly-fc/kNcsqXq#9503190,9503190
11/08/21,Al Ahly,Ismaily,1,1,FT,https://www.sofascore.com/ismaily-al-ahly-fc/kNcsqXq#9689662,9689662
08/08/21,El Gouna,National Bank,1,1,FT,https://www.sofascore.com/national-bank-of-egypt-el-gouna-fc/pwrsBHgc#9689657,9689657
08/08/21,Al-Masry,Al-Mokawloon,3,1,FT,https://www.sofascore.com/al-masry-al-mokawloon/pXqskwr#9689658,9689658
08/08/21,El-Gaish,Pyramids,1,1,FT,https://www.sofascore.com/pyramids-fc-talaea-el-gaish/lwrscavb#9689659,9689659
09/08/21,ENPPI,Smouha,0,0,FT,https://www.sofascore.com/enppi-smouha/nwrsowr#9689664,9689664
10/08/21,National Bank,Aswan,None,None,Canceled,https://www.sofascore.com/national-bank-of-egypt-aswan-sc/DFIbsBHgc#9503180,9503180
10/08/21,El Mahalla,Wadi Degla,2,2,FT,https://www.sofascore.com/ghazl-el-mahalla-wadi-degla/twrsuqy#9689663,9689663
10/08/21,El-Makkasa,Ceramica Cleopatra,1,2,FT,https://www.sofascore.com/ceramica-cleopatra-misr-el-makkasa/jwrsxHYc#9689656,9689656
10/08/21,Wadi Degla,Al-Ittihad,None,None,Canceled,https://www.sofascore.com/wadi-degla-al-ittihad-alexandria/Mdostwr#9503192,9503192
10/08/21,Al-Ittihad,Zamalek,1,2,FT,https://www.sofascore.com/zamalek-sc-al-ittihad-alexandria/MdostXq#9689660,9689660
10/08/21,Al-Mokawloon,El Gouna,None,None,Canceled,https://www.sofascore.com/el-gouna-fc-al-mokawloon/pXqspwr#9503191,9503191
10/08/21,Smouha,El-Gaish,None,None,Canceled,https://www.sofascore.com/smouha-talaea-el-gaish/lwrsnwr#9503175,9503175
11/08/21,El-Entag,El-Makkasa,None,None,Canceled,https://www.sofascore.com/el-entag-el-harby-misr-el-makkasa/jwrsmwr#9503177,9503177
